sentence,label
PeopleX be not disturb the peace and PersonX do not support PeopleX share significant difference regarding some property. PeopleX be not disturb the peace and PersonY do not support PeopleX share significant difference regarding some property.,1
PeopleX be use PeopleX power result in PersonX do not give a damn about intention now. PeopleX be use PeopleX power result in PersonY do not give a damn about intention now.,1
"PeopleX can deny PersonX happens because PersonX dont believe. When PeopleX do not want to hire PersonX happens, PeopleX can deny PersonX can happen. PersonX dont believe is a preferred alternative situation to the only thing require be.",0
PeopleX do not even see PersonX happens before PeopleX pass PersonX. PeopleX do not even see PersonX is an alternative situation to PersonX be walk too slow.,1
PeopleX do not greet anyone and PeopleX just look at PersonX share significant difference regarding some property. PeopleX do not greet anyone and PeopleX just look at PersonY share significant difference regarding some property. PeopleX just look at PersonX happens before PersonX need something. PeopleX just look at PersonX happens before PersonX say something.,1
PeopleX do not receive PeopleX food happens before PeopleX go up. PeopleX do not receive PeopleX food happens before PeopleX tell PeopleY.,1
"PeopleX get frustrate happens the same time as PeopleX do not respond. PeopleX get frustrate happens the same time as PersonX forget about PeopleX. people will stop play happens the same time as PeopleX get frustrate. When the game make happens, people will stop play can happen. When PeopleX get the feeling happens, people will stop play can happen.",1
PeopleX have no information is a preferred alternative situation to PeopleX response be try to show a different perspective on topic. PeopleX know people and PeopleX have no information share significant difference regarding some property. PeopleX know people result in PersonX be guess by end. PeopleX know people result in PersonY be guess by end.,1
PeopleX have two species and the other be good too share significant difference regarding some property. PeopleX have two species is an alternative situation to PersonX be mistaken. PeopleX have two species is an alternative situation to PersonY be mistaken.,1
PeopleX make fun of PeopleY and PeopleX be in the same boat share significant difference regarding some property. PeopleX make fun of PeopleY happens because PeopleY can not swim. PeopleX make fun of PeopleY happens because PeopleY help. PeopleX be in the same boat happens because PersonX be the PersonY. PeopleX be in the same boat happens because PersonY be the PersonX.,1
PeopleX will be destroy happens before PersonX can help yourselve. PeopleX will be destroy happens before PersonY can help yourselve. PeopleX will be destroy happens after PeopleX have be prisoner. the dems insist result in PeopleX will be destroy. the dems insist result in PeopleX will lose.,1
PeopleX will have time to chat happens before the other monopolise. PeopleX will have time to chat happens before the other come PersonX. PeopleX will have time to chat happens before the other come PersonY.,1
PeopleX will not be get and now PersonX will have to say share significant difference regarding some property. PeopleX will not be get and now PersonY will have to say share significant difference regarding some property. PersonX order a double happens the same time as PersonY do not know PeopleX. PersonX order a double happens the same time as PeopleX will not be get. PersonX order a double happens the same time as the PersonY tell PersonX.,1
PeopleX will not believe anything tomorrow happens because PersonX have hallucination. PeopleX will not believe anything tomorrow happens because PersonY have hallucination. PeopleX will not believe anything tomorrow happens because PersonX will show.,1
PeopleX would be squishy happens because PersonX have never touch one. PeopleX would be squishy happens because PersonY have never touch one.,1
PeopleX would have to figure out and two stand out for PersonX share significant difference regarding some property. PeopleX would have to figure out is an alternative situation to two stand out for PersonX. PeopleX would have to figure out and two stand out for PersonY share significant difference regarding some property. PeopleX would have to figure out is an alternative situation to two stand out for PersonY. PeopleX would have to figure out happens before PeopleX could go.,1
PersonX be a high school student and PersonY be PersonX teacher both happen. PersonX be a high school student and PersonY have not reach PersonX yet share significant difference regarding some property. PersonX first encounter happens the same time as PersonX be a high school student. PersonX first encounter happens the same time as PersonX walk in store.,1
"PersonX be further happens because PersonX die. PersonY would do anything happens although PersonX be further. When PeopleX even realise happens, PersonX be further can happen.",1
PersonX be gon na tell PeopleX happens before PersonX be gon na go out. people be gon na find out happens because PersonX be gon na tell PeopleX. people be gon na find out happens because PersonY be gon na tell PeopleX.,1
"PersonX be in the mood for food and PersonX husband be in the mood both happen. PersonX be in the mood for food and some texas hold 'em both happen. PersonX be in the mood for food happens the same time as PersonX be back in vegas. PersonX be in the mood for food and PersonX be in the area both happen. When PersonX be in the area happens, PersonX do not mind come can happen. PersonX do not mind come happens the same time as PersonX be in the mood for food.",1
"PersonX be more quiet happens because PersonX can not speak. PersonX be more quiet and PersonX would not be bind share significant difference regarding some property. When PersonX do not keep quiet happens, PersonX will not get well can happen. PersonX will not get well happens before PersonX be more quiet. PersonX will not get well is an alternative situation to PersonY put the idea into head.",1
PersonX be not like the rest of PersonY and PersonX would get well both happen. PersonX be not like the rest of PersonY and PersonX do something both happen. PersonX be not like the rest of PersonY and PersonY respect PersonX both happen.,1
